,source,sink,reactance,limit
109,n_3497,n_20882,333.45448846414195,1419.65
110,n_3498,n_20883,29154.51895043732,7215.24
111,n_3861,n_21135,3491.0715844228384,1654.16
112,n_4093,n_7049,34.81192578598714,5862.96
113,n_4093,n_7046,926.7737522844973,7136.33
114,n_4093,n_28617,5.816415319972639,30253.04
115,n_4093,n_28470,5.720467022131149,30220.29
116,n_4095,n_21284,879.3605290232942,5744.31
117,n_4095,n_4098,193.2822063241165,5204.79
118,n_4096,n_21285,248.64562726826972,5290.84
119,n_4097,n_21284,13513.513513513513,1805.970173
120,n_4098,n_21285,29850.746268656716,7225.69
121,n_4099,n_28470,85.43668483791039,4935.4
122,n_4169,n_13431,453.7946307019295,1448.41
123,n_4459,n_28502,84.77312718995478,6080.95
124,n_4472,n_6922,20.31232433013255,4494.77
125,n_4472,n_28471,46.76290784854616,4745.51
126,n_4473,n_30940,19.01687003656126,32678.48
127,n_4475,n_28505,29.725634180056133,4607.58
128,n_4478,n_4484,19.111024330073075,4476.97
129,n_4484,n_4496,31.07749272258353,4620.94
130,n_4491,n_30890,170.018293968431,1358.74
131,n_4491,n_28506,30.852952391518784,2431.58
132,n_4496,n_30852,45.394385513453166,4736.34
133,n_4507,n_28470,13.219293484813042,31913.95
134,n_4517,n_28664,27.566514139306165,4585.02
135,n_5608,n_29023,30.16626286609965,4612.0
136,n_5608,n_6586,308.72144249476565,5365.91
137,n_6024,n_7798,228.65954742787733,1385.2
138,n_6048,n_28509,91.28209444209799,1304.82
139,n_6131,n_2416,50.784919012020026,4771.07
140,n_6134,n_6177,17.27735463520585,4447.67
141,n_6177,n_22542,1048.1576009768828,5810.35
142,n_6177,n_22543,215.23752537112333,5241.38
143,n_6177,n_18705,326.55641686624705,5385.56
144,n_6178,n_6654,140.4120672938874,1341.92
145,n_6178,n_23861,5785.563861053898,6493.83
146,n_6400,n_28636,187.90514698504313,2734.87
147,n_6400,n_22425,72.36950945196453,1285.25
148,n_6400,n_18992,23.17887410658768,1193.43
149,n_6402,n_10053,30.263963194904857,4612.97
150,n_6403,n_18867,218.12210824614993,1380.96
151,n_6404,n_10053,125.04035677514916,1331.83
152,n_6404,n_6655,46.98022174946547,4746.94
153,n_6405,n_29980,27.48533760308891,4584.14
154,n_6405,n_10048,18.615041299609853,4469.31
155,n_6407,n_29970,31.640825499012205,4626.35
156,n_6407,n_30949,27.90739055237712,4588.69
157,n_6408,n_29980,2483.953659360531,6146.05
158,n_6422,n_10126,44.38898780235004,4729.44
159,n_6423,n_18697,32.604480814235615,4635.39
160,n_6641,n_6922,13.424272757810508,4375.2
161,n_6646,n_6652,4772.9962961548745,6413.01
162,n_6646,n_28470,172.59498808317906,5166.58
163,n_6647,n_30416,582.0579473610075,2944.09
164,n_6647,n_28664,1313.7497044063166,3102.0
165,n_6650,n_29015,767.9388597797398,5693.86
166,n_6650,n_29973,1478.889590539839,1564.2
167,n_6651,n_6663,36.29122678826744,4667.83
168,n_6651,n_22539,213.09984409615404,5237.97
169,n_6652,n_28470,1036.591686534674,94750.81
170,n_6655,n_22540,269.07933965777414,5318.11
171,n_6656,n_22539,2195.645157394823,6096.89
172,n_6657,n_22544,5461.943905836087,1703.07
173,n_6658,n_6674,1090.3187328751815,1533.47
174,n_6659,n_28502,197.90070886054906,1372.24
175,n_6659,n_22538,180.70712867937786,1364.14
176,n_6660,n_6682,24.349178122711482,4548.13
177,n_6660,n_6678,117.22422415147244,5038.08
178,n_6660,n_7026,120.29512242975937,5046.57
179,n_6660,n_6683,2922.071281006829,1635.11
180,n_6661,n_31010,77.5576957515523,4904.41
181,n_6661,n_6907,106.69459504386536,5007.31
182,n_6662,n_28667,107.39993038336513,9585.76
183,n_6662,n_9414,149.87104346065428,9798.400000000001
184,n_6663,n_6677,220.96371112972116,5250.34
185,n_6664,n_23768,246.08715274949483,5287.28
186,n_6664,n_6674,249.8582054683967,5292.52
187,n_6665,n_28998,56.90187283410134,4806.52
188,n_6666,n_6678,246913.58024691357,8756.37
189,n_6667,n_22538,135.07061153894728,1338.54
190,n_6668,n_22537,1070.5056426352423,1531.64
191,n_6669,n_9412,62.500285157551026,4835.98
192,n_6669,n_6939,75.29973057756399,4894.99
193,n_6670,n_22541,821.502330602112,5718.91
194,n_6671,n_22544,1811.7615939153798,6021.08
195,n_6673,n_6938,107.86925642053994,1319.08
196,n_6673,n_21285,65.68295063052676,1277.16
197,n_6673,n_28699,104.21514842217222,1316.13
198,n_6673,n_6940,32.347392361868465,2439.09
199,n_6675,n_22537,365.6329856529273,1428.19
200,n_6676,n_22544,1029.923394297932,5803.71
201,n_6677,n_10039,36.56886883419617,4670.15
202,n_6678,n_6682,20.224501267338034,4493.5
203,n_6679,n_23782,22.96918153708706,4530.88
204,n_6680,n_22538,823.9730000527342,1505.76
205,n_6681,n_22521,106.98416142283799,5008.19
206,n_6682,n_7011,32.09905202511635,4630.68
207,n_6684,n_28470,6.342102027183784,30423.93
208,n_6684,n_4484,482.88277151532475,1454.28
209,n_6684,n_30898,488.13847902883873,40365.85
210,n_6685,n_28700,34.10593275428735,4649.0
211,n_6685,n_31267,554.1256036505795,4323.48
212,n_6685,n_30940,89.56208528836171,1303.21
213,n_6685,n_28702,58.47247443349528,4815.05
214,n_6687,n_30413,3272.219186329977,6257.32
215,n_6687,n_7062,57.41180026067254,4809.32
216,n_6687,n_22611,5657.068507099621,6484.34
217,n_6687,n_28990,25.503862598246297,1200.88
218,n_6687,n_28669,13.869895800327315,4384.51
219,n_6688,n_28669,199.86692859893884,5216.16
220,n_6688,n_6690,494.1016614168365,1456.46
221,n_6689,n_6688,25.676452561855218,4563.87
222,n_6691,n_25047,132.32893904214492,5077.99
223,n_6691,n_7607,134.71241122957272,9727.46
224,n_6691,n_22549,65.31295978282657,4849.86
225,n_6692,n_18710,569.9077319381992,1470.05
226,n_6692,n_30524,146.42990707850956,5111.58
227,n_6692,n_18706,140.2909212834655,5097.34
228,n_6692,n_10016,16.903111046323364,4441.33
