,source,sink,reactance,limit
165,n_18865,n_22779,15.68627795,4419.78
166,n_18865,n_28766,450.5044298,5499.56
167,n_18866,n_18696,46.11894121,4741.23
168,n_18867,n_28636,182.9754182,1365.25
169,n_18869,n_23842,472.3897631,5516.57
170,n_18869,n_30522,769.282252,5694.51
171,n_18990,n_18704,31.8521662,1218.39
173,n_19221,n_28770,233.2128167,5268.82
174,n_19230,n_25052,2074.456389,6074.39
175,n_1924,n_23766,51.26668442,9547.13
176,n_1924,n_28663,5.477901103,30135.17
177,n_1924,n_28719,19.41124528,4481.51
178,n_19358,n_22602,310.3882927,1413.04
179,n_19358,n_29661,167.0380758,1357.18
180,n_1960,n_6422,12.36214203,4351.79
181,n_1960,n_6423,14.27457869,4392.73
182,n_19634,n_28668,426.4927031,5479.99
183,n_19634,n_28669,28.74328137,9193.96
184,n_20153,n_30301,1702.550762,1578.61
185,n_20311,n_23859,231.0588364,5265.63
186,n_2042,n_18704,4109.628448,1671.82
187,n_2042,n_20311,1660.125771,1576.02
188,n_2042,n_22521,225.2502869,5256.91
189,n_2042,n_23859,424.3615798,1442.1
190,n_2042,n_2416,93.22688936,9898.66
191,n_2050,n_3087,25.21340436,4558.46
192,n_20562,n_20896,242.5810821,5282.34
193,n_20562,n_23861,367.5481451,5427.18
194,n_20880,n_20881,534.1486578,1463.87
195,n_20881,n_30304,788.5738799,1501.46
196,n_20895,n_29873,91.78856724,4958.5
197,n_20896,n_1514,44843.04933,7420.94
198,n_20896,n_23861,709.517755,5664.61
199,n_2106,n_21118,5530.025272,3389.92
200,n_2106,n_26292,6022.137377,1713.93
201,n_2106,n_30943,3292.690556,1647.87
202,n_21118,n_21135,1553.581471,1569.23
203,n_21284,n_28664,53.65740402,4788.19
204,n_218,n_1586,431.7149921,1443.72
205,n_218,n_29226,550.5443783,1466.75
206,n_22426,n_22427,2636.046352,6169.88
207,n_22426,n_22521,62.01224655,4833.51
208,n_22537,n_30518,750.617195,1496.65
209,n_22539,n_22540,1178.661512,5854.9
210,n_22540,n_6665,542.6077293,5566.57
211,n_22541,n_22542,69.22745483,4868.27
212,n_22542,n_22543,247.7868914,5289.65
213,n_22548,n_22818,98.56492427,4981.54
214,n_22548,n_6691,347.5515515,5407.45
215,n_22591,n_6897,70.44045784,4873.78
216,n_22592,n_6895,101.3047546,4990.44
217,n_22611,n_30413,7641.579362,6612.53
218,n_22612,n_23778,15.6698363,4419.48
219,n_22612,n_28662,2180.002834,6094.05
220,n_22813,n_28767,232.2678048,5267.42
221,n_22815,n_22816,111.7505977,5022.42
222,n_23582,n_23583,207.7219384,5229.26
223,n_23582,n_28946,1183.483774,1541.68
224,n_23584,n_9453,246.6874197,5288.12
225,n_23585,n_23586,415.9410229,5471.06
226,n_23596,n_28951,565.3240409,5581.45
227,n_23598,n_23599,1729.260119,6002.84
228,n_23598,n_28945,41.7645628,5805.37
229,n_23600,n_6661,46.66527604,4744.86
230,n_23767,n_28991,21598.27214,7075.61
231,n_23767,n_9823,217.0873349,5244.3
232,n_23771,n_23772,15.33854265,4413.34
233,n_23771,n_28993,40.48465312,4701.18
234,n_23772,n_28994,227.8115534,5260.78
235,n_23773,n_9836,56.81150001,4806.03
236,n_23775,n_9846,53.99249386,4790.13
237,n_23776,n_23777,40.37462321,4700.35
238,n_23777,n_9852,40.63707556,4702.33
239,n_23779,n_23780,116.4772572,5035.99
240,n_23779,n_28947,179.3143986,5179.44
241,n_23780,n_28945,25.33777984,4559.92
242,n_23782,n_9480,13.64391505,4379.83
243,n_23782,n_9484,8003.13723,6632.46
244,n_23783,n_28652,40.72810613,4703.02
245,n_23783,n_9867,27.23689615,4581.43
246,n_23784,n_28652,518.9039296,5550.4
247,n_23784,n_9863,765.0114369,5692.45
248,n_23785,n_28652,184.0239261,10338.66
249,n_23785,n_9862,83.1144307,4926.55
250,n_23790,n_28999,208.3179265,5230.24
251,n_23793,n_9886,10.01125104,4292.44
252,n_23793,n_9887,37.83628941,4680.52
253,n_23842,n_10002,5625.246105,6481.96
254,n_23842,n_30522,370.3883411,5429.9
255,n_23843,n_23844,3719.228037,6309.7
256,n_23843,n_23845,1977.273222,6055.45
257,n_23844,n_23845,4199.563245,6359.79
258,n_23844,n_29630,14577.25948,6896.3
259,n_23845,n_30523,235.8011178,5272.6
260,n_23846,n_30068,353.6439294,5413.57
261,n_23847,n_28670,591.0899107,5597.67
262,n_23847,n_29015,45.07323206,4734.15
263,n_23848,n_28671,78.91873131,4909.97
264,n_23848,n_6692,21.55731278,4512.21
265,n_23849,n_30524,336.4384358,5396.02
266,n_23850,n_28673,87.15454444,4941.8
267,n_23850,n_29020,785.0562964,5702.04
268,n_23854,n_30401,21.41079588,4510.21
269,n_23857,n_29979,63.01328257,4838.55
270,n_23857,n_7061,68.73432342,4866
271,n_23900,n_23901,10245.90164,6740.21
272,n_23900,n_23902,2992.605272,6221.04
273,n_23901,n_23902,4236.336755,6363.4
275,n_2414,n_22427,19.45668757,4482.19
276,n_2415,n_10054,1213.225615,5865.93
277,n_2415,n_23859,337.7027567,5397.34
278,n_2415,n_6402,135.032474,5084.68
279,n_2416,n_20311,574.9287376,5587.57
280,n_2416,n_2417,84.20578243,6079.71
281,n_2417,n_18867,119.1584932,1327.66
282,n_2417,n_28636,36.05567891,1228.26
283,n_2418,n_2416,24.30631184,4547.6
284,n_24341,n_30087,386.6125358,1433.38
285,n_25970,n_14783,769.8507952,1499.12
286,n_25970,n_30630,1205.28687,1543.51
287,n_26292,n_2106,5357.64992,1700.93
288,n_26569,n_26570,337837.8378,2227.89
289,n_26569,n_31089,191.4438755,1369.28
290,n_26569,n_31224,97087.37864,2053.39
291,n_26570,n_31224,97087.37864,4063.69
292,n_26833,n_28707,548.6348319,1466.42
294,n_27913,n_27914,15873.01587,6934.88
295,n_27913,n_6939,458.3384133,1449.35
296,n_27914,n_27913,6001.392323,6509.34
297,n_27914,n_27915,401.6206195,5458.59
298,n_27917,n_27913,311.3570278,5368.88
299,n_27917,n_27921,8421.478138,13262.43
300,n_27917,n_27922,2654.695759,1624.93
301,n_27918,n_27920,2888.645601,1633.89
302,n_27919,n_27920,3810.017297,6319.62
303,n_27920,n_27921,7640.236542,6612.45
304,n_27922,n_27919,1566.941299,11629.35
305,n_28470,n_28471,57.8895999,4811.91
306,n_28470,n_28664,80.23562314,4915.26
307,n_28470,n_30882,72.40973891,4882.53
308,n_28470,n_4472,22.95483549,4530.7
309,n_28470,n_4473,10.38208373,31415.94
310,n_28471,n_28502,22.67461454,4527.08
311,n_28471,n_29962,168.814579,1358.11
312,n_28501,n_28664,41.63545049,4709.77
313,n_28501,n_30882,33.77037375,1223.03
314,n_28502,n_28505,40.78768692,4703.46
315,n_28502,n_28664,35.34260271,4659.79
316,n_28502,n_30890,52.86239564,1259.24
317,n_28662,n_30518,3001.58784,6222.26
318,n_28662,n_9822,15.89531827,4423.59
319,n_28663,n_28673,74.69287411,9697.79
320,n_28664,n_29962,81.20802459,1294.93
321,n_28664,n_30882,62500,7581.44
322,n_28666,n_23768,221.180609,5250.68
323,n_28666,n_30413,29.23738435,4602.62
324,n_28667,n_6682,41.11505171,4705.91
325,n_28669,n_22612,5.590667869,4132.68
326,n_28669,n_9419,7.943938735,4228.29
327,n_28670,n_28671,32.4568923,4634.03
328,n_28673,n_23792,156.9906278,5134.8
329,n_28673,n_30401,7106.76493,6581.37
330,n_28697,n_28470,54.89917793,4795.33
331,n_28697,n_6669,78.06724853,4906.5
332,n_28698,n_30950,28.32791935,4593.16
333,n_28699,n_17633,181.5365361,1364.55
334,n_28703,n_28702,77.50271976,6046.79
335,n_28704,n_7041,36.823423,4672.26
336,n_28704,n_9412,9.546892455,4279.19
337,n_28707,n_29661,45.81042793,1247.55
338,n_28711,n_1572,6.258396539,30397.62
339,n_28711,n_30943,105.5877011,5003.91
340,n_28714,n_30086,32.14678272,4631.13
341,n_28719,n_7062,18.03343319,4460.08
342,n_28766,n_18866,61.03745112,4828.53
343,n_28770,n_28771,267.5798632,5316.18
344,n_28945,n_9477,90.07029085,4952.4
345,n_28953,n_28955,45.92736771,4739.94
346,n_28954,n_10002,243.0956579,5283.07
347,n_29001,n_9881,106.3467869,5006.25
348,n_29015,n_29973,9402.738077,1764.37
349,n_29015,n_30069,898.500044,5752.36
350,n_29016,n_23792,14.96135005,4406.19
351,n_29016,n_29019,25.69468933,4564.08
352,n_29017,n_30068,307.6904142,5364.74
353,n_29017,n_30069,14.51374007,4397.48
354,n_29018,n_28673,78.46279459,4908.12
355,n_29018,n_29019,31.31592295,4623.24
356,n_29021,n_6669,34.04677905,4648.48
357,n_29024,n_30525,2941.920603,6214.13
358,n_2907,n_28509,231.7566926,1386.42
359,n_2907,n_30301,1353.028009,1555.17
360,n_29239,n_13841,245.9394173,1391.79
361,n_29239,n_30640,7091.645333,1732.26
362,n_29240,n_29275,187.0361503,1367.2
363,n_29262,n_30421,263.19779,1397.95
364,n_29630,n_30522,65.54675663,4850.98
365,n_29630,n_30523,111.7115982,5022.31
366,n_29803,n_4517,33.41661422,4642.82
367,n_29872,n_20897,55.84085891,4800.64
368,n_29872,n_29874,8107.144015,6638.04
369,n_29873,n_29874,143.9515862,5105.9
370,n_29873,n_30304,278.2650508,5329.75
371,n_29924,n_1837,2.845842067,28877.46
372,n_29962,n_18703,148.3880752,1346.76
373,n_29970,n_29023,63.80074568,4842.47
374,n_29970,n_30949,169.0357877,5159.57
375,n_29973,n_6897,14.81552881,4403.38
376,n_29979,n_30069,82.23380568,4923.14
377,n_30212,n_14521,55.28008873,1262.91
378,n_30212,n_27690,850.1565138,1508.83
379,n_30212,n_29284,255.2951403,1395.18
380,n_30301,n_20153,331.0180825,1418.97
381,n_30401,n_29024,43.27579974,4721.63
382,n_30412,n_10014,55.01129519,4795.96
383,n_30412,n_6669,20.69292237,4500.21
384,n_30415,n_30416,805.0829719,1503.49
385,n_30421,n_18696,278.7040818,5330.29
386,n_30522,n_23843,136.7119037,5088.78
387,n_30523,n_28998,108.9294835,5014.07
388,n_30630,n_29240,139.1663324,1341.14
389,n_30640,n_14366,294.1163495,1408.09
390,n_30640,n_29239,3842.296771,1664.51
391,n_3087,n_3088,122.7179071,5053.13
392,n_3088,n_10123,42.72421744,4717.69
393,n_3088,n_23902,41.0044163,4705.09
394,n_30897,n_30898,6.886212195,30587.39
395,n_30942,n_30943,784.2146992,5701.64
396,n_30942,n_30944,435.6865636,5487.6
397,n_30944,n_21135,472.5947056,5516.73
398,n_30950,n_6940,1135.038994,1537.49
399,n_31027,n_28663,6.196854843,30378.08
400,n_31089,n_29239,3636.720696,1658.57
401,n_319,n_19222,249.907784,5292.58
402,n_319,n_22546,33.4845092,4643.44
403,n_319,n_29015,60.04679206,9643.9
404,n_319,n_29979,42.09413435,4713.13
405,n_319,n_6650,75.33629747,4895.14
406,n_319,n_6894,57.6101545,4810.4
407,n_321,n_19230,109.6669557,5016.27
408,n_321,n_28770,102.2522803,4993.47
409,n_322,n_1837,11.14133073,31560.62
410,n_322,n_19224,61.89192729,4832.9
411,n_322,n_20895,49.58540896,4763.65
412,n_322,n_20897,49.56308407,4763.51
413,n_322,n_22816,132.4041387,5078.18
414,n_322,n_334,71.10847156,4876.77
415,n_322,n_6891,7.277020238,30697.5
416,n_322,n_7566,94.3661698,4967.44
417,n_323,n_19224,18450.1845,7003.38
418,n_324,n_19224,71.18268103,4877.1
419,n_324,n_19233,370.5288744,5430.04
420,n_325,n_19223,497.6684234,5535.33
421,n_326,n_1517,43.72288662,4724.79
422,n_326,n_30944,136.4536462,5088.15
423,n_326,n_5117,79.12777141,1292.74
424,n_328,n_12439,456.4834342,1448.97
425,n_328,n_19230,2450.571963,6140.64
426,n_328,n_19233,302.289145,5358.56
427,n_333,n_19233,308.1990818,5365.32
428,n_333,n_334,149.2713097,5117.98
429,n_340,n_18493,107.3007425,5009.16
430,n_340,n_6661,27.21450703,4581.19
431,n_340,n_6903,650.8022765,6944.8
432,n_340,n_6906,106.3777956,5006.34
433,n_340,n_6907,34.89101721,4655.89
434,n_3484,n_20882,179.2078083,1363.4
435,n_3485,n_20883,693.1039621,5655.99
436,n_3492,n_20880,373.521648,1430.17
437,n_3493,n_20881,1530.191442,1567.68
438,n_3494,n_30304,575.0470964,1470.91
439,n_3497,n_20882,333.4544885,1419.65
440,n_3498,n_20883,29154.51895,7215.24
441,n_3861,n_21135,3491.071584,1654.16
442,n_4093,n_28470,5.720467022,30220.29
443,n_4093,n_28617,5.81641532,30253.04
444,n_4093,n_7046,926.7737523,7136.33
445,n_4093,n_7049,34.81192579,5862.96
446,n_4095,n_21284,879.360529,5744.31
447,n_4095,n_4098,193.2822063,5204.79
448,n_4096,n_21285,248.6456273,5290.84
449,n_4097,n_21284,13513.51351,1805.970173
450,n_4098,n_21285,29850.74627,7225.69
451,n_4099,n_28470,85.43668484,4935.4
452,n_4169,n_13431,453.7946307,1448.41
453,n_4459,n_28502,84.77312719,6080.95
454,n_4472,n_28471,46.76290785,4745.51
455,n_4472,n_6922,20.31232433,4494.77
456,n_4473,n_30940,19.01687004,32678.48
457,n_4475,n_28505,29.72563418,4607.58
458,n_4478,n_4484,19.11102433,4476.97
459,n_4484,n_4496,31.07749272,4620.94
460,n_4491,n_28506,30.85295239,2431.58
461,n_4491,n_30890,170.018294,1358.74
462,n_4496,n_30852,45.39438551,4736.34
463,n_4507,n_28470,13.21929348,31913.95
464,n_4517,n_28664,27.56651414,4585.02
465,n_5608,n_29023,30.16626287,4612
466,n_5608,n_6586,308.7214425,5365.91
468,n_6048,n_28509,91.28209444,1304.82
469,n_6131,n_2416,50.78491901,4771.07
470,n_6134,n_6177,17.27735464,4447.67
471,n_6177,n_18705,326.5564169,5385.56
472,n_6177,n_22542,1048.157601,5810.35
473,n_6177,n_22543,215.2375254,5241.38
474,n_6178,n_23861,5785.563861,6493.83
475,n_6178,n_6654,140.4120673,1341.92
476,n_6400,n_18992,23.17887411,1193.43
477,n_6400,n_22425,72.36950945,1285.25
478,n_6400,n_28636,187.905147,2734.87
479,n_6402,n_10053,30.26396319,4612.97
480,n_6403,n_18867,218.1221082,1380.96
481,n_6404,n_10053,125.0403568,1331.83
482,n_6404,n_6655,46.98022175,4746.94
483,n_6405,n_10048,18.6150413,4469.31
484,n_6405,n_29980,27.4853376,4584.14
485,n_6407,n_29970,31.6408255,4626.35
486,n_6407,n_30949,27.90739055,4588.69
487,n_6408,n_29980,2483.953659,6146.05
488,n_6422,n_10126,44.3889878,4729.44
489,n_6423,n_18697,32.60448081,4635.39
490,n_6641,n_6922,13.42427276,4375.2
491,n_6646,n_28470,172.5949881,5166.58
492,n_6646,n_6652,4772.996296,6413.01
493,n_6647,n_28664,1313.749704,3102
494,n_6647,n_30416,582.0579474,2944.09
495,n_6650,n_29015,767.9388598,5693.86
496,n_6650,n_29973,1478.889591,1564.2
497,n_6651,n_22539,213.0998441,5237.97
498,n_6651,n_6663,36.29122679,4667.83
499,n_6652,n_28470,1036.591687,94750.81
500,n_6655,n_22540,269.0793397,5318.11
501,n_6656,n_22539,2195.645157,6096.89
502,n_6657,n_22544,5461.943906,1703.07
503,n_6658,n_6674,1090.318733,1533.47
504,n_6659,n_22538,180.7071287,1364.14
505,n_6659,n_28502,197.9007089,1372.24
506,n_6660,n_6678,117.2242242,5038.08
507,n_6660,n_6682,24.34917812,4548.13
508,n_6660,n_6683,2922.071281,1635.11
509,n_6660,n_7026,120.2951224,5046.57
510,n_6661,n_31010,77.55769575,4904.41
511,n_6661,n_6907,106.694595,5007.31
512,n_6662,n_28667,107.3999304,9585.76
513,n_6662,n_9414,149.8710435,9798.4
514,n_6663,n_6677,220.9637111,5250.34
515,n_6664,n_23768,246.0871527,5287.28
516,n_6664,n_6674,249.8582055,5292.52
517,n_6665,n_28998,56.90187283,4806.52
518,n_6666,n_6678,246913.5802,8756.37
519,n_6667,n_22538,135.0706115,1338.54
520,n_6668,n_22537,1070.505643,1531.64
521,n_6669,n_6939,75.29973058,4894.99
522,n_6669,n_9412,62.50028516,4835.98
523,n_6670,n_22541,821.5023306,5718.91
524,n_6671,n_22544,1811.761594,6021.08
525,n_6673,n_21285,65.68295063,1277.16
526,n_6673,n_28699,104.2151484,1316.13
527,n_6673,n_6938,107.8692564,1319.08
528,n_6673,n_6940,32.34739236,2439.09
529,n_6675,n_22537,365.6329857,1428.19
530,n_6676,n_22544,1029.923394,5803.71
531,n_6677,n_10039,36.56886883,4670.15
532,n_6678,n_6682,20.22450127,4493.5
533,n_6679,n_23782,22.96918154,4530.88
534,n_6680,n_22538,823.9730001,1505.76
535,n_6681,n_22521,106.9841614,5008.19
536,n_6682,n_7011,32.09905203,4630.68
537,n_6684,n_28470,6.342102027,30423.93
538,n_6684,n_30898,488.138479,40365.85
539,n_6684,n_4484,482.8827715,1454.28
540,n_6685,n_28700,34.10593275,4649
541,n_6685,n_28702,58.47247443,4815.05
542,n_6685,n_30940,89.56208529,1303.21
543,n_6685,n_31267,554.1256037,4323.48
544,n_6687,n_22611,5657.068507,6484.34
545,n_6687,n_28669,13.8698958,4384.51
546,n_6687,n_28990,25.5038626,1200.88
547,n_6687,n_30413,3272.219186,6257.32
548,n_6687,n_7062,57.41180026,4809.32
549,n_6688,n_28669,199.8669286,5216.16
550,n_6688,n_6690,494.1016614,1456.46
551,n_6689,n_6688,25.67645256,4563.87
552,n_6691,n_22549,65.31295978,4849.86
553,n_6691,n_25047,132.328939,5077.99
554,n_6691,n_7607,134.7124112,9727.46
555,n_6692,n_10016,16.90311105,4441.33
556,n_6692,n_18706,140.2909213,5097.34
557,n_6692,n_18710,569.9077319,1470.05
558,n_6692,n_30524,146.4299071,5111.58
559,n_6695,n_19222,4547.749092,6392.86
560,n_6696,n_23848,972.5232992,5782.087468
561,n_6697,n_22546,220.113583,5249.03
562,n_6697,n_6703,49.65242804,4764.07
563,n_6698,n_22546,4091.083892,6348.97
564,n_6699,n_22549,77.39341456,4903.73
565,n_6700,n_22548,181.9992545,5184.45
566,n_6700,n_6703,93.21030071,4963.46
567,n_6701,n_19222,221.78683,5251.61
568,n_6701,n_28771,88.86197753,4948.05
569,n_6703,n_7618,40.87193739,4704.1
570,n_6888,n_22590,138.1250955,1340.49
571,n_6888,n_28954,77.1081424,4902.56
572,n_6889,n_22589,15037.59398,6910.22
573,n_6890,n_22590,119474.313,2081.85
574,n_6891,n_22779,242.4211864,5282.12
575,n_6891,n_7559,406.7219754,5463.08
576,n_6892,n_22590,367.7760509,1428.73
577,n_6893,n_6903,37.69269448,4679.36
578,n_6894,n_22592,103.4741337,4997.33
579,n_6895,n_22591,59.42512844,4820.12
580,n_6897,n_6902,11961.72249,15069.92
581,n_6897,n_7619,18.91642589,4473.99
582,n_6900,n_22591,34482.75862,7293.57
583,n_6901,n_6902,58.48757335,4815.13
584,n_6901,n_6906,32.83699773,4637.54
585,n_6902,n_7700,39.39355513,1235.36
586,n_6902,n_9877,116.2929979,5035.47
587,n_6904,n_18493,29069.76744,7213.55
588,n_6905,n_22592,1075.076922,5819.95
589,n_6912,n_6922,47.00225935,4747.09
590,n_6913,n_31027,15.10840606,32192.67
591,n_6913,n_6641,19.16774017,4477.83
592,n_6916,n_6969,197.1604168,1371.9
593,n_6922,n_10051,32.54352053,4634.83
594,n_6922,n_15782,17.38950733,1171.31
595,n_6922,n_26871,64.76654575,1276
596,n_6930,n_28698,159.7759813,9840.16
597,n_6930,n_28700,84.01440309,6079.67
598,n_6938,n_28698,88.78489613,1302.47
599,n_6940,n_18703,68.34942962,1280.48
600,n_6941,n_30950,1004.919079,5794.43
601,n_6941,n_6939,187.7860921,5195.03
602,n_6942,n_28471,93.05010618,6119.68
603,n_6942,n_28698,85.1714177,9651.6
604,n_6953,n_18694,48.02727488,1251.4
605,n_6953,n_6954,41.58770375,1239.72
606,n_6954,n_31267,94.11387365,1307.42
607,n_6955,n_28703,184.9268697,10149.66
608,n_6955,n_28704,154.6735144,6325.33
609,n_6956,n_28703,265.3132155,1398.68
610,n_6964,n_18694,15267.17557,1820.94
611,n_6965,n_6967,44.86752728,2491.37
612,n_6965,n_6968,126.142902,2550.48
613,n_6966,n_29661,113.5559067,1323.5
614,n_6966,n_6969,39.82288691,1236.23
615,n_6967,n_28707,16.22884384,4429.58
616,n_6967,n_6682,23.88011628,4542.37
617,n_6967,n_6972,3147.663175,3285.57
618,n_6967,n_6986,218.5821494,1381.15
619,n_6968,n_26833,34.60683726,1224.98
620,n_6968,n_6981,177.9935534,1362.8
