source,sink,linesus,linemva
7046,7047,0.006000756,1356.97
9870,18693,0.018258839,4794.58
2106,21118,0.000180831,1704.44
9833,23769,0.004967088,5218.63
15641,30941,0.035211538,33542.91
4093,7049,0.035922052,1207.75
9850,23776,0.001375816,5673.51
2416,2417,0.011875669,1297.99
7699,23766,0.011759462,4933.90
6400,28636,0.0053437,1367.25
6652,28470,0.0009647,5806.15
7031,30941,0.058499762,32452.50
9480,12417,0.001128574,1512.90
6667,22538,0.007403535,1338.54
12439,25052,0.005154445,5206.06
6897,6902,8.36445E-05,6808.03
15690,15691,0.016295189,1271.53
9834,23769,0.001137262,5744.28
6930,28698,0.006258763,5140.68
30212,29284,0.003917035,1395.18
6405,10048,0.053719999,4469.31
27914,27913,0.000166628,6509.34
7589,28767,0.009040907,5019.07
328,19233,0.003308091,5358.56
9823,28718,4.79487E-05,7059.17
15628,30412,0.008028348,1331.49
1918,16911,0.01576163,1274.29
18707,30524,0.000623707,5973.37
29262,30421,0.003799424,1397.95
6685,28700,0.029320412,4649.00
11856,28998,0.005370709,5192.15
325,19223,0.00200937,5535.33
11709,28601,0.014041673,1283.91
26569,31089,0.005223463,1369.28
6673,6938,0.009270482,1319.08
1586,16162,0.000376694,1624.93
3484,20882,0.005580114,1363.40
15690,29983,0.017260781,1266.77
7091,7092,0.000275793,6299.27
1960,6423,0.070054607,4392.73
6685,31267,0.001804645,1467.37
23844,29630,6.86287E-05,6896.30
2417,28636,0.027734882,1228.26
6692,30524,0.006829206,5111.58
6971,18870,0.002177574,1449.53
1754,7608,0.012464064,4915.24
27918,27920,0.000346183,1633.89
29630,30523,0.008951622,5022.31
18688,23858,0.01961649,4772.24
1500,28711,0.029054844,1224.55
18990,18704,0.031395039,1218.39
1572,1575,0.012687754,4909.55
2907,28509,0.00431487,1386.42
326,5117,0.012637788,1292.74
9868,23784,0.043656807,4530.07
23849,30524,0.002972312,5396.02
1500,3861,0.008242997,1329.21
9846,29001,0.004449344,5256.16
1837,6703,0.031616291,4626.24
6684,30898,0.002048599,40365.85
28698,30950,0.035300863,4593.16
6687,28990,0.039209747,1200.88
30212,14521,0.018089696,1262.91
30640,29239,0.000260261,1664.51
7699,9885,0.009402754,5006.26
