,Generator,Time,Value
424,JamesERogersEnergyComplex_5,17,0.0
425,JamesERogersEnergyComplex_5,18,0.0
426,JamesERogersEnergyComplex_5,19,0.0
427,JamesERogersEnergyComplex_5,20,0.0
428,JamesERogersEnergyComplex_5,21,0.0
429,JamesERogersEnergyComplex_5,22,0.0
430,JamesERogersEnergyComplex_5,23,0.0
431,JamesERogersEnergyComplex_5,24,0.0
432,JamesERogersEnergyComplex_6,1,0.0
433,JamesERogersEnergyComplex_6,2,0.0
434,JamesERogersEnergyComplex_6,3,0.0
435,JamesERogersEnergyComplex_6,4,0.0
436,JamesERogersEnergyComplex_6,5,0.0
437,JamesERogersEnergyComplex_6,6,0.0
438,JamesERogersEnergyComplex_6,7,0.0
439,JamesERogersEnergyComplex_6,8,0.0
440,JamesERogersEnergyComplex_6,9,0.0
441,JamesERogersEnergyComplex_6,10,0.0
442,JamesERogersEnergyComplex_6,11,0.0
443,JamesERogersEnergyComplex_6,12,0.0
444,JamesERogersEnergyComplex_6,13,0.0
445,JamesERogersEnergyComplex_6,14,0.0
446,JamesERogersEnergyComplex_6,15,0.0
447,JamesERogersEnergyComplex_6,16,0.0
448,JamesERogersEnergyComplex_6,17,0.0
449,JamesERogersEnergyComplex_6,18,0.0
450,JamesERogersEnergyComplex_6,19,0.0
451,JamesERogersEnergyComplex_6,20,0.0
452,JamesERogersEnergyComplex_6,21,0.0
453,JamesERogersEnergyComplex_6,22,0.0
454,JamesERogersEnergyComplex_6,23,0.0
455,JamesERogersEnergyComplex_6,24,0.0
456,Marshall_NC_1,1,0.0
457,Marshall_NC_1,2,0.0
458,Marshall_NC_1,3,0.0
459,Marshall_NC_1,4,0.0
460,Marshall_NC_1,5,0.0
461,Marshall_NC_1,6,0.0
462,Marshall_NC_1,7,0.0
463,Marshall_NC_1,8,0.0
464,Marshall_NC_1,9,0.0
465,Marshall_NC_1,10,0.0
466,Marshall_NC_1,11,0.0
467,Marshall_NC_1,12,0.0
468,Marshall_NC_1,13,0.0
469,Marshall_NC_1,14,0.0
470,Marshall_NC_1,15,0.0
471,Marshall_NC_1,16,0.0
