n_319_nuc,n_6652_nuc,n_18689_nuc
930.4478226,2428.706733,1960.114711
929.9428306,2427.054551,1959.050876
930.1953266,2426.393678,1959.582793
929.6903346,2429.037169,1958.518959
929.4378386,2430.028478,1957.987042
929.9428306,2432.011095,1959.050876
929.4378386,2433.332841,1957.987042
928.9328465,2432.671968,1956.923208
929.6903346,2433.332841,1958.518959
930.4478226,2433.663277,1960.114711
929.9428306,2433.663277,1959.050876
929.6903346,2432.671968,1958.518959
929.9428306,2433.993713,1959.050876
929.6903346,2433.002404,1958.518959
929.6903346,2433.993713,1958.518959
929.6903346,2432.671968,1958.518959
929.9428306,2433.332841,1959.050876
929.1853425,2433.663277,1957.455125
929.4378386,2433.002404,1957.987042
930.1953266,2422.428443,1959.582793
929.4378386,2381.123907,1957.987042
930.4478226,2377.158671,1960.114711
929.6903346,2392.689177,1958.518959
929.6903346,2419.784953,1958.518959
930.7003186,2429.698041,1960.646628
929.1853425,2431.680659,1957.455125
929.6903346,2433.002404,1958.518959
929.1853425,2433.332841,1957.455125
928.9328465,2431.680659,1956.923208
929.1853425,2431.680659,1957.455125
928.9328465,2433.332841,1956.923208
929.4378386,2432.011095,1957.987042
928.6803505,2432.011095,1956.39129
929.1853425,2433.332841,1957.455125
928.4278545,2432.671968,1955.859373
929.1853425,2432.011095,1957.455125
928.9328465,2432.341532,1956.923208
928.6803505,2432.011095,1956.39129
930.1953266,2432.671968,1959.582793
929.4378386,2433.002404,1957.987042
928.1753585,2431.350223,1955.327456
927.9228625,2433.002404,1954.795539
929.1853425,2433.002404,1957.455125
925.6503983,2432.011095,1950.008285
927.9228625,2433.332841,1954.795539
929.1853425,2432.341532,1957.455125
923.6304302,2432.671968,1945.752947
923.3779341,2433.332841,1945.22103
